,full_text,label
0,jaejoong saw made walk saw im still dreaming night 김재중 재중 kimjaejoong ジェジュン 金在中 j_jun 인코드 inkode j_party im_twenty_in_australia samsungzflip5,Positive
1,know refused hold phone said iphone 안돼요 아이폰 이에요 ㅎㅎ specialtyinjakarta taecyeon samsungmobileusa samsungzflip5 samsungpartner,Negative
2,samsung ambassador huh samsungzflip5 oktizen taecyeon 2pm 옥택연 specialty oktaecyeon fyp fanmeeting captainkorea,Negative
3,samsung z flip 5 tipp 1 samsung samsungzflip5,Positive
4,samsungzflip5,Positive
5,samsung galaxy z flip 5 spec samsung samsunggalaxyzflip5 galaxyzflip5 samsungzflip5,Positive
6,cute cinnamonroll phone sanrio cinnamonroll samsungzflip5 sanriocore kawaiigirl tech samsung,Positive
7,samsungzflip5,Positive
8,dive new world galaxyai bahasa indonesia inside samsungzfold5 samsungzflip5 everything feel closer personal plus enjoy cashback promo even exciting experience,Positive
9,guide detail recover lost data samsung z flip 5 recover samsungzflip5 data deleted lost contact message video photo restore,Negative
10,28122023 ig update samsungzflip5 ตาหอ daou oueiija ตาหอหอหบการนต ไดโนของตาหอ,Positive
11,jointheflipside unfoldyourworld samsung samsungzflip5 samsungzfold5,Positive
12,fr taecyeon stylist hemeko ig story sock haha sock taec hehe samsungzflip5 taecyeon,Positive
13,estamos emocionados de presentar la última colaboración de junto descubre el nuevo samsung z flip 5 de la mano de karen en este video contáctanos samsungzflip5 kodiak publicidad,Positive
14,samsungzflip5,Positive
15,samsung galaxy z flip 5 rumor second screen larger world first foldable smartphone us ip68 rating certificate samsung samsungzflip5,Positive
16,new phone samsungzflip5 samsung,Positive
17,ปกาศ ขายซมซง s23u 8256 คะ เราใชเอง ขาย เพราะ เราถนด io มากกวา เครองสภาพ 100 ซอ ตลาคมป 23 มประกนของบานานา 3ป มกลองใหครบ เราไมเคยทำหลน กระแทกเลยคะ มเคสใหดวย นดรบได btsจตจกร ซมซงมอสอง ซมซงมอ2 samsungzflip5 samsungมอสอง samsungมอ2,Positive
18,samsungzflip5,Positive
19,id never switch thought joining flipside would like see one future supreemlife prize jointheflipside samsungflip samsungzflip5,Positive
20,dokument apa yang diperlukan utk ansuran ic depan belakang mulai dari rm 68 sbln sahaje tunggu apa lagi jam murah amp bajet jom amkl pastikan amkl baru beli jom ansuranmudahkl installmentplan installment installmentmalaysia samsungzfold5,Positive
21,samsung galaxy z fold 5 z flip 5 officially launching 26 july 2023 samsung samsunggalaxyzfold5 samsunggalaxyzflip5 galaxyunpacked samsungunpacked galaxyzfold5 galaxyzflip5 samsungzfold5 samsungzflip5,Positive
22,new video official samsung slim pen case samsung z fold 5 worth let find link yt samsungzfold5 casereview,Positive
23,samsung eyeing car crash detection feature galaxy s24 z fold 5 news visit 2yodoindia samsung samsung carcrashdetection samsunggalaxys24 samsungzfold5,Positive
24,fast_reverse_buttonشاهد كيف جمع samsungzfold5 بين الجوال و التابلت في وقت واحد عالم_التكنولوجيا,Positive
25,pitakas aramid fibre case samsungzfold5 good workmanship tight silk stitching floating weaving crazy pattern super beautiful weight super light without sense heaviness handsome,Positive
26,samsung lanza el galaxy z fold 5 z flip 5 sus do nuevos dispositivos plegables amplíe esta información aquí e3noticiasrd samsung samsungzflip5 samsungzfold5,Positive
27,first look samsungzfold5 thought watch,Negative
28,kerala first sale moment pan indian actor dulquersalmaan buy samsungzfold5 oxygen digital expert kingofkotha,Negative
29,ready ultimate foldable phone first look z fold 5 blog soon unboxing thought design amp performance stay tuned like follow upcoming content samsungzfold5 unboxing tech thetechnerd,Positive
30,avis test coque spigen slimarmorpro coque samsung galaxy z fold 5 zfold5 samsungunpacked samsungzfold5 fold5,Positive
31,zimebakia siku 4 mpaka ujio wa samsungunpacked event ambapo samsung watazindua simu zao mpya za samsungzflip5 na samsungzfold5 pamoja na saa zao mpya je unategemea nini kipya kutoka kwenye simu hizo,Positive
32,maybe something strange price rome airport samsungzfold5 samsungzfold4 samsung,Positive
33,kupi jedan razveseli dvoje odličan poklon uz kupovinu uređaja ictbusiness tehnologija telekomunikacije intervjui reportaze analize samsung samsungzflip5 samsungzfold5,Positive
34,istražite razigrani šarm galaxy z fold5 galaxy z flip5 linije maski ictbusiness tehnologija telekomunikacije intervjui reportaze analize samsungzfold5,Positive
